TABLE_NAME,PK
KMSCategories,ID
KMSCategoryFileTags,ID
KMSCategoryTypes,ID
KMSComments,ID
KMSItemCategories,ID
KMSItems,ID
KMSModers,ID
KMSTags,ID
KMSThreadCategories,ID
KMSThreads,ID
KMSTopics,ID
KMSUserPoints,ID
KMSViews,ID
KMSVotes,ID
KPIADetailLogs,ID
KPIAssignmentDetailInDirects,ID
KPIAssignmentDetailLogs,IDSystem
KPIAssignmentDetails,ID
KPIAssignmentResultLogs,ID
KPIAssignments,ID
KPICategories,ID
KPIDataDetailLogs,ID
KPIDataDetails,ID
KPIDataMasterLogs,ID
KPIDataMasters,ID
KPIDataRevenueProfitLiveDirects,ID
KPIDataRevenueProfitLiveIndirects,ID
KPIDataUBs,ID
KPIDates,ID
KPIEmployeeTypes,ID
KPIFactors,ID
KPIFormulars,ID
KPIGroupAssignments,ID
KPIGroups,ID
KPIKs,ID
KPILocks,ID
KPIMappingSegmentItems,ID
KPIMasterAssignments,ID
KPINSDataMasters,ID
KPIReplaceJobs,ID
KPIRules,ID
KPIs,ID
KPISegments,ID
KPIShares,ID
KPITargetCategories,ID
KPITargetItems,ID
KPITargets,ID
KPITargetTypes,ID
KPITemplates,ID
KPITemplateSQLDetails,ID
KPITemplateSQLs,ID
KPIUserCustomerLogs,ID
KPIUserCustomers,ID
KPIUserSQLs,ID
Languages,ID
LayoutTemplates,ID
Locations,ID
LogCancelBusinesses,ID
LogErrors,ID
LogFunctionActions,ID
LogPermissions,ID
LogRateConsultants,ID
MandayConsultantDetails,ID
MandayRates,ID
MarketOfferings,ID
MassPaymentItems,ID
MassPayments,ID
MaterialProposeDetails,ID
MaterialProposeLogs,ID
MaterialProposes,ID
MaterialProposeTransitions,ID
Materials,ID
MaterialUnits,ID
MeetingNotes,ID
Menus,ID
MessageBusinesses,ID
Messages,ID
Milestones,ID
MinuteChildDetails,ID
MinuteChilds,ID
MoneyLevelGroups,ID
MoneyLevelSBPs,ID
MoneyRates,ID
MoneyTypes,ID
MotherBoards,ID
NameDocumentTypes,ID
Navigates,ID
NotificationContents,ID
NotificationLogs,ID
Notifications,ID
NotifyVouchers,ID
NumberDocumentaries,ID
