Advance
NewPrices
NGPUD
NumberShare
OtherPrice
OutProvince
Payment
PaymentValue
PaymentValuePercent
PDC
PDVKH
PDVKHBHSP
PercenOff
Percent
PercentComplete
PercentFinish
PercentProfit
PeriodWarranty
PFProfitSBA
PFRevenueSBA
PlanTotalPrice
Price
PriceB
PriceList
PriceListNew
PriceOff
Prices
ProductPrice
ProductPriceDomestic
ProductPriceForeign
ProductTotalAfterVAT
ProductTotalBeforeVAT
ProductTotalVAT
Profit
ProfitKTO
ProfitLender
ProfitSBA
ProjectReward
ProviderReward
Provincial
PTV
Quantity
QuantityBlock
Quarter1
Quarter2
Quarter3
Quarter4
Quarter5
QuotaAfter
QuotaBefor
RateRisk
RateUSD
Ratio
Reality
Rebate
RebatePlan
RebateProfit
RebateRevenue
RentPrice
ResultPercent
ResultPercent1
ResultPercent2
ResultPercent3
ResultPercent4
ResultPercent5
ResultValue
ResultValue1
ResultValue2
ResultValue3
ResultValue4
ResultValue5
Revenue
RevenueDebt
RevenueDirect
RevenueIndirect
RevenueKTO
RevenueNow
RevenueOfPeriod
RevenueProfit
Revenues
RevenueSerial
RevenuesXHD
RewardFromSupplier
SBAValue
SoDaXHD
SumTime
SupplierPrice
TaskPercent
Tax
TechnologicalCapability
Threshold
TienThuongNCC
TimeB
TimeNumber
TimeU
TongBienPhi
TongChiPhi
Total
TotalAccept
TotalAfterVAT
TotalApproved
TotalBeforeVAT
TotalBeforVAT
TotalBrowsing
TotalCatogory
TotalCleared
TotalComment
TotalCommitment
TotalContractMoney
TotalDeny
TotalEstimateManday
TotalEstimateMoney
TotalEstimateTime
TotalExcessFund
TotalFinalizationManday
TotalFinalizationMoney
TotalFinalizationTime
TotalFinancial
TotalGaurantee
TotalHoursAssignment
TotalLeaseServiceCost
TotalLockVAT
TotalManday
TotalManhoursPlanned
TotalMarketing
TotalMaterialCost
TotalMoney
TotalMoneyAssignment
TotalMoneyContractsBeforeVat
TotalMoneyExist
TotalMoneyInvoices
TotalMoneyMandayConsul
TotalMoneyMandayDeploy
TotalMoneyRevenueInternal
TotalMoneyService
TotalMoneyUSD
TotalMonneyManday
TotalMonneyMandayConsul
TotalMonneyMandayDeploy
TotalOhters
TotalOtherMaterialCost
TotalPrice
TotalPriceAssignment
TotalPriceEstimate
TotalPriceFinish
TotalPricePlan
TotalPriceUSD
TotalProfit
TotalQuantity
TotalRequest
TotalRevenue
TotalSpent
TotalSpentFromFast
TotalTime
TotalTimeAssignConsul
TotalTimeAssignDeploy
TotalTimeAssignment
TotalTimeWorkConsul
TotalTimeWorkDeploy
TotalTopic
TotalValue
TotalValueGuarantee
TotalVAT
TotalView
TotalWareReturn
TotalWarrantyBHUQPrice
TotalWarrantyPaymentPrice
ToValue
TranferProfit
TranferRevenue
TTBS
TTDVTK
U
U_Consultant
U_Deploy
U_NotSale
U_Sale
UnitPrice
UnitPriceBuy
UnitPriceOut
UnitPriceSell
UnitPriceUSD
Units
UserValue
Value
ValueATax
ValueBHMR
ValueBTax
ValueDirect
ValueGuarantee
ValueHardware
ValueIndirect
ValueInvoice
ValueLevy
ValueLock
ValueMoney
ValueMoneyBudget
ValuePayment
ValueRebate
ValueSettlement
ValueStockOrPreload
ValueTotal
ValueUSD
ValueVATLock
VariableCost
VAT
VATPercent
VATValue
WareReturn
Warranty
WarrantyBHUQ
WarrantyBHUQPrice
WarrantyCatalogOfEquipmentAfterPricelist
WarrantyCatalogOfEquipmentPricelist
WarrantyCatalogOfEquipmentPricelistExtra
WarrantyDetailCost
WarrantyExtPrice
WarrantyPaymentPrice
WarrantyPaymentPrice24x7
WarrantyPaymentPrice8x5
WarrantyPriceExtend
WarrantyPriceIncrease
WarrantyVATPrice
Weight
Weight1
Weight2
Weight3
Weight4
Weight5
XFactor
XFactor1
XFactor2
XFactor3
XFactor4
XFactor5
XHDConLai
XuatHoaDon
